,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000,1010,1020,1030,1040,1050,1060,1070,1080,1090,1100,1110,1120,1130,1140,1150,1160,1170,1180,1190,1200,1210,1220,1230,1240,1250,1260,1270,1280,1290,1300,1310,1320,1330,1340,1350,1360,1370,1380,1390
WT_0,0.201000005,0.216499999,0.229800001,0.242899999,0.260600001,0.280900002,0.311300009,0.346700013,0.368400007,0.376199991,0.385100007,0.39230001,0.402200013,0.411900014,0.394199997,0.427599996,0.429699987,0.433099985,0.438600004,0.442099988,0.446799994,0.451700002,0.458299994,0.463400006,0.465299994,0.467299998,0.474599987,0.475600004,0.477999985,0.482199997,0.4824,0.486699998,0.488099992,0.488299996,0.491600007,0.492399991,0.495700002,0.488799989,0.492300004,0.493200004,0.497599989,0.496899992,0.497099996,0.497599989,0.498400003,0.494300008,0.500899971,0.503300011,0.501299977,0.50120002,0.504899979,0.502799988,0.506600022,0.504999995,0.505699992,0.505599976,0.505500019,0.507000029,0.505599976,0.505999982,0.506399989,0.506099999,0.506699979,0.509800017,0.50849998,0.50849998,0.506600022,0.509800017,0.509000003,0.5097,0.50910002,0.510200024,0.507799983,0.5097,0.507499993,0.510999978,0.511300027,0.509000003,0.513599992,0.512899995,0.513899982,0.513800025,0.512799978,0.513599992,0.512199998,0.513199985,0.515600026,0.516499996,0.515900016,0.51849997,0.51700002,0.520299971,0.521200001,0.521000028,0.519200027,0.522599995,0.523800015,0.522700012,0.525699973,0.527199984,0.52609998,0.526499987,0.528299987,0.531099975,0.528999984,0.527800024,0.531499982,0.531700015,0.530200005,0.529200017,0.531799972,0.530700028,0.528500021,0.526499987,0.527899981,0.530700028,0.531199992,0.529999971,0.527499974,0.527100027,0.527999997,0.528900027,0.530200005,0.525900006,0.529600024,0.528599977,0.527899981,0.526199996,0.525699973,0.527999997,0.528400004,0.52700001,0.5273,0.528999984,0.52670002,0.529999971,0.528699994,0.529500008,0.532800019,0.52759999
kd_0,0.192200005,0.196999997,0.204400003,0.212200001,0.218500003,0.229699999,0.246299997,0.266099989,0.294499993,0.318800002,0.32949999,0.336499989,0.344500005,0.350499988,0.355599999,0.365200013,0.376899987,0.380600005,0.383899987,0.385899991,0.388000011,0.390700012,0.394800007,0.4005,0.402999997,0.406800002,0.411500007,0.414299995,0.416000009,0.41839999,0.4208,0.424299985,0.425500005,0.426299989,0.42809999,0.426899999,0.427599996,0.427899987,0.4287,0.430000007,0.430200011,0.430900007,0.430799991,0.431400001,0.431600004,0.431800008,0.431100011,0.431499988,0.432999998,0.431899995,0.431199998,0.431499988,0.433400005,0.432700008,0.432599992,0.432000011,0.431899995,0.430799991,0.432000011,0.431600004,0.433200002,0.431499988,0.431899995,0.431699991,0.431300014,0.431199998,0.432000011,0.430200011,0.429899991,0.430000007,0.430099994,0.429899991,0.430000007,0.4287,0.429800004,0.428299993,0.429500014,0.42899999,0.428900003,0.429100007,0.429699987,0.428200006,0.42840001,0.42809999,0.428900003,0.42750001,0.427599996,0.430900007,0.430299997,0.430500001,0.431199998,0.430299997,0.431899995,0.432599992,0.431600004,0.431100011,0.431800008,0.433499992,0.431899995,0.433499992,0.432999998,0.434100002,0.433200002,0.433800012,0.434100002,0.435200006,0.433999985,0.434700012,0.435900003,0.434300005,0.435499996,0.434899986,0.435000002,0.436100006,0.436399996,0.435000002,0.43599999,0.435400009,0.433999985,0.436100006,0.436800003,0.434300005,0.43599999,0.435699999,0.436300009,0.434100002,0.435400009,0.435499996,0.434599996,0.436100006,0.435900003,0.436800003,0.437400013,0.4375,0.436199993,0.441100001,0.437999994,0.438499987,0.437400013,0.438300014
